Grid Size,Serial Time,Parallel Time,Number of Cores
64,0,1,4
256,1,3,4
2500,24,28,4
4225,33,42,4
10000,130,135,4
40000,1822,1115,4
160000,41437,14873,4
360000,206609,70121,4
640000,629092,205179,4
1000000,1503957,472033,4
