Grid Size,Serial Time,Parallel Time,Number of Cores
64,0,0.0001,6
256,0,0.001,6
2500,16,30,6
4225,15,31,6
10000,110,125,6
40000,2281,953,6
160000,34795,11500,6
360000,176161,52194,6
640000,562732,149675,6
1000000,1353725,349855,6
